Time,Ax,Ay,Az,Roll,Pitch,Yaw
2023-04-27 13:26:40.522102,-0.254,-0.021,0.972,-0.048,0.024,0.025
2023-04-27 13:26:40.628062,-0.262,-0.02,0.964,-0.047,0.032,0.042
2023-04-27 13:26:40.733775,-0.261,-0.018,0.973,-0.011,0.024,0.023
2023-04-27 13:26:40.839711,-0.264,-0.011,0.969,0.009,0.037,0.029
2023-04-27 13:26:40.945407,-0.269,-0.01,0.968,0.037,0.037,0.02
2023-04-27 13:26:41.051267,-0.274,-0.013,0.969,0.03,0.051,0.018
2023-04-27 13:26:41.156849,-0.27,-0.014,0.976,0.029,0.047,0.019
2023-04-27 13:26:41.262640,-0.264,-0.01,0.979,-0.004,0.072,0.015
2023-04-27 13:26:41.368692,-0.258,-0.013,0.959,-0.037,0.064,0.0
2023-04-27 13:26:41.474749,-0.257,-0.014,0.962,-0.048,0.063,-0.007
2023-04-27 13:26:41.580429,-0.259,-0.016,0.962,-0.051,0.054,-0.006
2023-04-27 13:26:41.686155,-0.256,-0.009,0.969,-0.055,0.061,-0.004
2023-04-27 13:26:41.792024,-0.262,-0.014,0.965,-0.039,0.048,0.005
2023-04-27 13:26:41.897751,-0.26,-0.01,0.977,-0.029,0.04,0.009
2023-04-27 13:26:42.003490,-0.26,-0.017,0.974,-0.025,0.028,-0.003
2023-04-27 13:26:42.109272,-0.257,-0.016,0.976,-0.027,0.038,0.003
2023-04-27 13:26:42.214962,-0.264,-0.013,0.963,-0.02,0.038,0.013
2023-04-27 13:26:42.320753,-0.261,-0.014,0.967,0.014,0.043,0.001
2023-04-27 13:26:42.426482,-0.262,-0.018,0.977,0.018,0.046,0.002
2023-04-27 13:26:42.532253,-0.263,-0.018,0.977,0.018,0.057,0.006
