Time (s),Roll (deg.),Pitch (deg.),Yaw (deg.),Altitude (m),Pressure (Pa),Temeprature (C)
1697045025.7426116,15.0,-10.4375,323.3125,27.66424197915164,1009.8993691126088,35.75541863730177
1697045056.4373486,358.375,-1.0,326.75,27.242200776894492,1009.9196375797906,35.91883843205869
1697045056.5076072,358.375,-1.0,326.75,27.83274626781804,1009.96006561502,35.93208840629086
1697045056.5716074,358.375,-1.0,326.75,28.33893269619123,1009.9701589874335,35.949754973407835
1697045056.631979,358.375,-1.0,326.75,27.748579400813473,1009.9802654678867,35.958588229026645
1697045056.6908073,358.375,-1.0,326.75,27.664268054809806,1009.9094881175836,35.958588229026645
1697045056.7498732,358.375,-1.0,326.75,28.339110034282562,1009.8791515803744,35.958588229026645
1697045056.8083782,358.375,-1.0,326.75,28.17049143948835,1009.9296994810231,35.967421466019005
1697045056.867749,358.375,-1.0,326.75,28.17049143948835,1009.9296994810231,35.967421466019005
1697045056.9275544,358.375,-1.0,326.75,28.17049143948835,1009.9499107618767,35.97625468438491
1697045056.9867363,358.375,-1.0,326.75,27.748755953642352,1009.8488143083117,35.97625468438491
1697045057.0454094,358.375,-1.0,326.75,28.17049143948835,1009.8993621554063,35.98067128658295
1697045057.1037443,358.375,-1.0,326.75,27.748755953642352,1009.8690240949393,35.971838077530265
1697045057.1621737,358.375,-1.0,326.75,28.17049143948835,1009.8690240949393,35.97625468438491
1697045057.2206912,358.375,-1.0,326.75,27.748755953642352,1009.8690240949393,35.97625468438491
1697045057.279009,358.375,-1.0,326.75,27.411339148955317,1009.858919211948,35.97625468438491
1697045057.338042,358.375,-1.0,326.75,27.917569962356175,1009.9094674119532,35.97625468438491
1697045057.3968246,358.375,-1.0,326.75,27.664448411833227,1009.9296778630998,35.98508788412437
1697045057.4553616,358.375,-1.0,326.75,27.495835894231746,1009.96001637133,35.98067128658295
1697045057.51889,358.375,-1.0,326.75,27.664448411833227,1009.8690240949393,35.97625468438491
1697045057.5776348,358.375,-1.0,326.75,27.917569962356175,1009.9499107618767,35.98067128658295
1697045057.6363914,358.375,-1.0,326.75,28.00187626607115,1009.8892337989781,35.97625468438491
1697045057.6950438,358.375,-1.0,326.75,27.495835894231746,1009.9094674119532,35.99392106523737
1697045057.753764,358.375,-1.0,326.75,27.411339148955317,1009.96001637133,35.98067128658295
1697045057.8124306,358.375,-1.0,326.75,27.833264513986684,1009.8689986421019,35.99392106523737
1697045057.87089,358.375,-1.0,326.75,28.508153756953078,1009.9094434204167,35.98950447700918
1697045057.9297688,358.375,-1.0,326.75,27.833264513986684,1009.990333075777,35.98067128658295
1697045057.9886742,358.375,-1.0,326.75,28.339314787854082,1009.8689986421019,35.98508788412437
1697045058.0473282,358.375,-1.0,326.75,28.508153756953078,1009.8993386200237,35.98508788412437
1697045058.105487,358.375,-1.0,326.75,28.170703801301386,1009.9701219601318,35.99392106523737
1697045058.164208,358.375,-1.0,326.75,28.676763977974005,1010.0105660900758,35.99392106523737
1697045058.2227297,358.375,-1.0,326.75,27.07411258269865,1009.8892337989781,35.99392106523737
1697045058.2813096,358.375,-1.0,326.75,28.339546957200938,1009.7375611984061,35.98508788412437
1697045058.340455,358.375,-1.0,326.75,28.00209623604207,1009.8083457694598,35.98950447700918
1697045058.3995044,358.375,-1.0,326.75,28.170703801301386,1009.9094434204167,35.98508788412437
1697045058.4580317,358.375,-1.0,326.75,28.086399591011286,1009.8588942152594,35.99392106523737
1697045058.520752,358.375,-1.0,326.75,28.086399591011286,1009.8993386200237,35.99392106523737
1697045058.579587,358.375,-9.0,326.75,28.339546957200938,1009.879103048293,35.99392106523737
1697045058.6381385,358.375,-1.0,326.75,27.496051273732327,1009.9397830576974,35.99392106523737
1697045058.6968014,358.375,-1.0,326.75,29.01448040766806,1009.7780055044522,35.98950447700918
1697045058.7553806,358.375,-1.0,326.75,27.833264513986684,1009.8588942152594,35.99392106523737
1697045058.8138273,358.375,-1.0,326.75,28.00209623604207,1009.8083457694598,35.99392106523737
1697045058.8723953,358.375,-1.0,326.75,27.664656183220192,1009.9195482001567,36.007170801982284
1697045058.9318702,358.375,-1.0,326.75,28.67700834748386,1009.8285538966953,36.002754227723926
1697045058.9910283,358.375,-1.0,326.75,28.508153756953078,1010.0307779528259,36.007170801982284
1697045059.0499384,358.375,-1.0,326.75,28.67700834748386,1009.8487619413278,36.007170801982284
1697045059.1086988,358.375,-1.0,326.75,28.339546957200938,1010.0105441087994,36.007170801982284
1697045059.1674788,358.375,-1.0,326.75,27.664656183220192,1009.9296529592419,36.01158737158403
1697045059.2258947,358.375,-1.0,326.75,27.833492092041702,1009.9498882316409,36.007170801982284
1697045059.2847602,358.375,-1.0,326.75,28.170943578688068,1009.879103048293,36.002754227723926
1697045059.343754,358.375,-1.0,326.75,27.327449785508325,1009.9094434204167,36.007170801982284
1697045059.4031167,358.375,-0.9375,326.8125,27.664656183220192,1009.8689699033441,36.002754227723926
1697045059.4624596,358.375,-0.9375,326.8125,28.00209623604207,1009.8689986421019,36.002754227723926
1697045059.5265312,358.375,-0.9375,326.8125,27.496051273732327,1009.8892074338303,36.007170801982284
1697045059.586217,358.375,-1.0,326.75,28.339546957200938,1009.9498624154417,36.007170801982284
1697045059.645074,358.375,-1.0,326.75,28.845878560149863,1009.9296529592419,36.01158737158403
1697045059.7039342,358.375,-1.0,326.75,27.496051273732327,1009.9195204665048,36.01158737158403
1697045059.7625508,358.375,-1.0,326.75,27.833492092041702,1009.8689699033441,36.007170801982284
1697045059.8212593,358.375,-1.0,326.75,28.677280133797154,1009.8892074338303,36.01158737158403
1697045059.8794625,358.375,-1.0,326.75,27.664891369275686,1009.9599671125529,36.01600393652916
1697045059.938687,358.375,-1.0,326.75,27.24315032435552,1009.828523696659,36.01158737158403
1697045059.9978104,358.375,-1.0,326.75,28.086643172390826,1009.8892074338303,36.01158737158403
1697045060.0569766,358.375,-1.0,326.75,28.170943578688068,1009.7172877298912,36.01600393652916
1697045060.115626,358.375,-1.0,326.75,28.002343621394793,1009.8689699033441,36.01600393652916
1697045060.1742406,358.375,-1.0,326.75,28.002343621394793,1009.828523696659,36.01158737158403
1697045060.2328126,358.375,-1.0,326.75,28.002343621394793,1009.8082839080984,36.02042049681768
1697045060.2914605,6.375,-1.0,326.75,27.74919130300563,1009.8386272731389,36.01158737158403
1697045060.350312,358.375,-1.0,326.75,27.41175010196726,1009.970071789003,36.02042049681768
1697045060.4090252,358.375,-1.0,326.75,27.918044925685212,1009.9195204665048,36.01600393652916
1697045060.4691758,358.375,-1.0,326.8125,27.327449785508325,1009.9195204665048,36.01600393652916
1697045060.531142,358.375,-1.0,326.75,27.15885171850392,1009.8891777827317,36.01158737158403
1697045060.5902114,358.3125,-1.0625,326.6875,28.17121077197307,1009.9296247694117,36.01158737158403
1697045060.649029,358.3125,-1.0625,326.6875,28.002343621394793,1009.828523696659,36.02042049681768
1697045060.7082605,358.3125,-1.0625,326.6875,28.255508229662286,1009.9094161429379,36.01600393652916
1697045060.7746155,358.3125,-1.0625,326.6875,28.339806542637955,1009.8891777827317,36.01158737158403
1697045060.8479767,358.3125,-1.0625,326.6875,28.677280133797154,1009.8386272731389,36.01600393652916
1697045060.9185634,358.375,-1.0625,326.6875,27.74919130300563,1009.828523696659,36.02042049681768
1697045060.9784842,358.375,-1.0625,326.6875,28.002343621394793,1009.9296247694117,36.02042049681768
1697045061.0395036,358.375,-1.0625,326.6875,28.339806542637955,1009.9195204665048,36.024837052449584
1697045061.0984836,358.3125,-1.0625,326.6875,27.15885171850392,1009.8082839080984,36.02042049681768
1697045061.159422,358.3125,-1.0625,326.6875,28.002343621394793,1009.9296247694117,36.02925360342488
1697045061.2181501,358.3125,-1.0625,326.6875,27.918044925685212,1009.9397290516577,36.02925360342488
1697045061.2767568,358.3125,-1.0625,326.6875,28.086914169565382,1009.8891777827317,36.02925360342488
1697045061.33558,358.3125,-1.0625,326.6875,28.17121077197307,1009.8891777827317,36.024837052449584
1697045061.3942025,358.3125,-1.0625,326.6875,27.83374708527684,1010.0509659269254,36.02042049681768
1697045061.4899337,358.3125,-1.0625,326.6875,27.833492092041702,1009.8487619413278,36.01158737158403
1697045061.5880265,358.3125,-1.0625,326.6875,27.918044925685212,1009.828523696659,36.01600393652916
1697045061.651466,358.3125,-1.0625,326.6875,28.255508229662286,1009.8487308289612,36.02925360342488
1697045061.710268,358.375,-1.0625,326.6875,28.50868512858041,1009.970071789003,36.02042049681768
1697045061.7693448,358.375,-1.0625,326.6875,28.424388908891878,1009.909385579479,36.02925360342488
1697045061.8281384,358.375,-1.0625,326.6875,28.340093544475042,1009.9498333132406,36.02925360342488
1697045061.8865757,358.375,-1.0625,326.6875,27.2434045300654,1009.8790413724688,36.03367014974356
1697045061.9459655,358.375,-1.0625,326.6875,27.665153970309618,1009.8689378786278,36.04250322841108
1697045062.0044868,358.375,-1.0625,326.6875,27.91832353057985,1009.8486964306294,36.038086691405624
1697045062.063031,358.375,-1.0625,326.6875,27.580858695750763,1009.909385579479,36.038086691405624
1697045062.1217575,358.375,-1.0625,326.75,27.665153970309618,1009.8587995096059,36.038086691405624
1697045062.1803737,358.375,-1.0,326.75,28.00261842243431,1009.8891448456462,36.02925360342488
1697045062.2391026,358.375,-1.0,326.75,28.2557990353299,1009.8790413724688,36.02925360342488
1697045062.2980864,358.375,-1.0625,326.75,27.83402949399709,1009.9194894468582,36.038086691405624
1697045062.3571799,358.3125,-1.125,326.6875,28.17150538145153,1009.8891448456462,36.038086691405624
1697045062.4167948,358.3125,-1.125,326.625,28.340093544475042,1009.8891448456462,36.04250322841108
1697045062.478622,358.3125,-1.125,326.6875,28.2557990353299,1009.8992482981587,36.04250322841108
1697045062.5411613,358.375,-1.0625,326.6875,27.91832353057985,1009.8486964306294,36.04250322841108
1697045062.6004834,358.4375,-1.0625,326.6875,28.17150538145153,1009.8891448456462,36.038086691405624
1697045062.6597579,358.625,-1.0625,326.6875,27.91832353057985,1009.8891448456462,36.04250322841108
1697045062.7181542,358.875,-1.0625,326.6875,27.412270712457975,1009.8689025679171,36.038086691405624
1697045062.7760432,359.25,-1.125,326.75,28.50899193960415,1010.0306994137363,36.04691976075992
1697045062.8340974,359.75,-1.1875,326.5625,27.15910972808368,1009.8992482981587,36.04691976075992
1697045062.8920176,0.1875,-1.3125,326.4375,28.17150538145153,1009.9700417744115,36.04691976075992
1697045062.950578,0.5,-1.5,326.375,27.243686150247044,1009.8891448456462,36.05133628845215
1697045063.009287,0.875,-1.75,326.25,28.846489169237095,1009.9396971196214,36.04250322841108
1697045063.067742,1.125,-1.875,325.9375,28.17150538145153,1009.9093517300041,36.04691976075992
1697045063.1259546,1.375,-1.8125,325.875,28.17150538145153,1009.9396971196214,36.038086691405624
1697045063.183818,1.5,-1.6875,326.0,28.846489169237095,1009.8486964306294,36.05133628845215
1697045063.242215,1.5625,-1.6875,326.0,28.4246995236822,1009.8587995096059,36.038086691405624
1697045063.3012638,1.625,-1.6875,326.125,28.50899193960415,1009.9801459739963,36.04691976075992
1697045063.3596854,1.6875,-1.625,326.25,28.002920639470524,1009.8486964306294,36.05133628845215
1697045063.4181058,1.6875,-1.5,326.4375,28.0872125828301,1009.8689025679171,36.04691976075992
1697045063.4765723,1.625,-1.4375,326.4375,28.50899193960415,1009.9801459739963,36.04691976075992
1697045063.5400238,1.3125,-1.4375,326.5,28.17150538145153,1009.7880043424693,36.04691976075992
1697045063.598123,1.0,-1.4375,326.5,27.83402949399709,1009.889108622537,36.04691976075992
1697045063.6564016,0.625,-1.375,326.5625,28.002920639470524,1009.9700084737527,36.06016932986677
1697045063.7152598,0.3125,-1.25,326.75,28.002920639470524,1009.8486587462951,36.04691976075992
1697045063.7732825,0.0625,-1.1875,327.25,28.002920639470524,1009.9194551411815,36.055752811487764
1697045063.8311138,359.875,-1.1875,327.25,28.593615635320802,1009.8284534387394,36.055752811487764
1697045063.8884802,359.6875,-1.125,327.3125,28.593615635320802,1009.889108622537,36.055752811487764
1697045063.9466076,359.625,-1.125,327.3125,28.256117257599264,1009.808208902962,36.04691976075992
1697045064.0049243,359.5625,-1.125,327.3125,28.593615635320802,1009.9700084737527,36.055752811487764
1697045064.0635347,359.5625,-1.125,327.3125,28.002920639470524,1009.808208902962,36.04691976075992
1697045064.122532,359.5625,-1.125,327.3125,28.256117257599264,1009.8790056055614,36.055752811487764
1697045064.1817253,359.5625,-1.125,327.3125,27.83433931851235,1009.889108622537,36.055752811487764
1697045064.2399528,359.5625,-1.125,327.3125,28.002920639470524,1009.9194551411815,36.05133628845215
1697045064.2989872,359.5625,-1.125,327.3125,27.91862955136789,1009.889108622537,36.04691976075992
1697045064.357914,359.5625,-1.125,327.3125,27.91862955136789,1009.7981066330487,36.055752811487764
1697045064.4168413,359.5625,-1.125,327.3125,28.593615635320802,1009.9700084737527,36.055752811487764
1697045064.478572,359.5625,-1.125,327.3125,27.83433931851235,1009.808208902962,36.055752811487764
1697045064.5417118,359.5,-1.125,327.3125,28.931124685314643,1009.7981066330487,36.055752811487764
1697045064.5998015,359.3125,-1.125,327.3125,28.171827407428445,1009.9700084737527,36.0734188570641
1697045064.6580858,359.125,-1.125,327.3125,27.750049940908827,1009.9801122171203,36.06458584358916
1697045064.7167482,358.9375,-1.125,327.3125,27.496861900309188,1009.8992116188426,36.0734188570641
1697045064.774765,358.6875,-1.125,327.3125,28.171827407428445,1009.747555279105,36.06458584358916
1697045064.8325837,358.5625,-1.125,327.25,28.171827407428445,1009.9194175494371,36.055752811487764
1697045064.8909156,358.625,-1.125,327.25,28.5093261678347,1009.8284133807839,36.055752811487764
1697045064.9496355,358.5625,-1.125,327.25,28.340749798569362,1009.8992116188426,36.055752811487764
1697045065.0093732,358.5625,-1.125,327.25,27.328283234999482,1009.8789665526083,36.06016932986677
1697045065.0682232,358.625,-1.125,327.25,27.83433931851235,1009.9396619015253,36.06458584358916
1697045065.1268363,358.625,-1.125,327.25,27.15970799067817,1009.9295204837233,36.06458584358916
1697045065.1855392,358.625,-1.125,327.3125,27.83433931851235,1009.889108622537,36.06458584358916
1697045065.2442257,358.625,-1.125,327.3125,27.750049940908827,1009.8688639711754,36.06016932986677
1697045065.3030498,358.625,-1.125,327.3125,28.171827407428445,1009.9497262902645,36.0734188570641
1697045065.3613896,358.5625,-1.125,327.25,28.087538412499804,1009.9093145944767,36.08225185191259
1697045065.4200113,358.5625,-1.125,327.25,28.340749798569362,1009.8688639711754,36.08225185191259
1697045065.4784098,358.5625,-1.125,327.3125,27.83433931851235,1009.8688639711754,36.0734188570641
1697045065.5421402,358.5625,-1.0625,327.375,27.07510500908846,1009.9497652506888,36.0734188570641
1697045065.601737,358.5625,-1.0625,327.3125,28.171827407428445,1009.9093145944767,36.08225185191259
1697045065.6606934,358.5625,-1.0,327.375,28.5093261678347,1009.9194175494371,36.08225185191259
1697045065.719636,358.5625,-1.0,327.4375,28.256462896780288,1010.0002816863587,36.06458584358916
1697045065.783671,358.5625,-1.0625,327.5,27.665761418547486,1009.8688639711754,36.07783535681665
1697045065.8463647,358.5625,-1.0625,327.5,28.256462896780288,1009.9901784405828,36.0734188570641
1697045065.9062846,358.5625,-1.0,327.5625,28.341119051446412,1009.9194175494371,36.08225185191259
1697045065.965016,358.5625,-0.875,327.75,28.087891658884402,1009.8385155886895,36.07783535681665
1697045066.023511,358.5,-0.75,328.375,28.340749798569362,1009.9295204837233,36.07783535681665
1697045066.081965,358.5,-0.5625,329.3125,27.328615881479642,1009.8890691133678,36.091084828134626
1697045066.1404884,358.5625,-0.3125,330.4375,28.172176850223554,1009.8385155886895,36.08225185191259
1697045066.1982512,358.6875,-0.0625,331.25,28.087891658884402,1009.9295204837233,36.091084828134626
1697045066.256338,358.875,0.1875,332.0,28.003607322767753,1009.9699320140883,36.08225185191259
1697045066.3159556,359.125,0.5,332.5625,27.160048244312712,1009.9092741728595,36.08225185191259
1697045066.3743083,359.375,0.875,333.0625,28.340749798569362,1009.9497262902645,36.08666834235191
1697045066.4325025,359.625,1.3125,333.625,28.003607322767753,1009.8890691133678,36.07783535681665
1697045066.4905188,0.0,2.0625,334.375,26.9911361673059,1009.9699320140883,36.08225185191259
1697045066.5526419,0.4375,2.8125,335.375,27.41290098289686,1009.8486177759229,36.08666834235191
1697045066.6130078,1.0,3.875,336.6875,28.256462896780288,1009.8587613690705,36.0734188570641
1697045066.710179,1.4375,5.1875,339.25,27.83433931851235,1009.808208902962,36.06016932986677
1697045066.8077826,1.625,6.5,342.5625,28.67790595804908,1009.9295585316889,36.0734188570641
1697045066.9050767,1.5625,7.625,345.125,28.5093261678347,1009.9194551411815,36.055752811487764
1697045067.0027564,1.6875,8.5625,346.9375,28.5093261678347,1009.9801122171203,36.055752811487764
1697045067.1000495,2.3125,9.0,348.125,28.002920639470524,1009.808208902962,36.06016932986677
1697045067.197485,3.375,9.375,348.8125,27.83433931851235,1009.9295585316889,36.055752811487764
1697045067.2949424,4.5,9.75,349.375,27.412572140035707,1009.808208902962,36.06458584358916
1697045067.392481,5.5625,10.5,349.75,28.087538412499804,1009.8183111522076,36.055752811487764
1697045067.4918733,6.75,12.0,350.0625,28.256117257599264,1009.7778609682521,36.0734188570641
1697045067.5853267,7.8125,13.375,350.625,27.75039098513817,1009.7576137595752,36.08225185191259
1697045067.6433418,8.5625,14.25,351.0625,27.666106266371237,1009.8789242135729,36.091084828134626
1697045067.7010832,9.25,14.875,351.5625,26.65366712308263,1009.8890263181011,36.09991778573021
1697045067.759016,10.0,15.5625,352.25,26.822567764862995,1009.8485735194745,36.095501309260726
1697045067.8172572,10.875,16.125,353.0,28.003607322767753,1009.8991284019494,36.091084828134626
1697045067.875504,11.6875,16.625,353.75,28.341515721953314,1009.8991284019494,36.095501309260726
1697045067.9336379,12.5625,17.125,354.5625,27.66647853040321,1009.9496840436923,36.10875072469935
1697045067.9922152,13.3125,17.625,355.0625,27.66647853040321,1009.8182220905671,36.10433425754309
1697045068.049697,14.25,18.375,355.625,28.341515721953314,1009.8687769194515,36.09991778573021
1697045068.1078198,15.1875,19.3125,355.875,27.328975943454747,1009.990137655182,36.095501309260726
1697045068.1659565,16.1875,20.3125,356.125,27.328975943454747,1010.0103432135336,36.10875072469935
1697045068.2246473,17.0,21.4375,356.1875,28.25723642713169,1009.8283234066971,36.10433425754309
1697045068.282682,17.9375,22.4375,356.5625,27.244695500751135,1009.909230465116,36.10875072469935
